epoch,accuracy,binary_accuracy,binary_csi,binary_focn,binary_frequency_bias,binary_peirce_score,binary_pod,binary_pofd,binary_success_ratio,loss,val_accuracy,val_binary_accuracy,val_binary_csi,val_binary_focn,val_binary_frequency_bias,val_binary_peirce_score,val_binary_pod,val_binary_pofd,val_binary_success_ratio,val_loss
32,0.049801193,0.89693147,0.3256366,0.9441946,1.038488,0.44141448,0.5002698,0.058855217,0.4848968,0.20886476842282506,0.04447971,0.89623374,0.2995904,0.93902516,0.93794334,0.39246237,0.44631967,0.05385727,0.47724116,0.20185759196922926
33,0.04977266,0.897828,0.32748416,0.94415426,1.028441,0.44177052,0.4995081,0.0577376,0.48941517,0.20815610334033083,0.033297274,0.9105539,0.27073973,0.9298003,0.5697342,0.3085765,0.33437485,0.025798328,0.5872585,0.24994867127423925
34,0.04956808,0.8976751,0.32659075,0.94391173,1.0217372,0.4396966,0.49736664,0.05766988,0.48861235,0.2067850343430893,0.067807294,0.8863214,0.37334138,0.96266437,1.5106584,0.5907044,0.6817316,0.09102727,0.45218852,0.22740748526543736
35,0.050024346,0.89797914,0.32903883,0.94431436,1.0274379,0.44373748,0.5015017,0.05776439,0.49024647,0.20616716025370477,0.042124286,0.90615904,0.3096423,0.9376855,0.7910597,0.38269684,0.42314228,0.040445384,0.53487784,0.21653812405405062
36,0.05069587,0.8992449,0.33477488,0.9450135,1.0288798,0.45105073,0.50809467,0.05704391,0.49722427,0.20337707495515206,0.048856717,0.89786994,0.3229524,0.9434855,1.0134894,0.43396613,0.4909301,0.05696394,0.48652354,0.1954697592215637
37,0.050908025,0.90003824,0.33730993,0.94527376,1.0273219,0.4542284,0.5106199,0.05639148,0.5012012,0.2012901539800335,0.038143963,0.9132348,0.30456635,0.9342445,0.6384298,0.35404414,0.38204232,0.027998107,0.59964556,0.20688530990517057
38,0.050502114,0.898721,0.33289987,0.94480723,1.0332711,0.44947794,0.5069019,0.057424016,0.49475557,0.20716996754125894,0.08211392,0.8216171,0.3149238,0.97708863,2.4682202,0.64712965,0.82595795,0.17882822,0.3373843,0.4312426804669938
39,0.049055196,0.8966141,0.32206795,0.9432179,1.0225241,0.43385264,0.49200693,0.05815443,0.48449615,0.21378981405757796,0.019277424,0.90461046,0.16801229,0.9168318,0.34588513,0.1768359,0.19358593,0.01675004,0.5579014,0.28066690777860953
40,0.049667023,0.8988989,0.32940573,0.9440562,1.0139309,0.44212693,0.49850342,0.056376576,0.4947019,0.20639815531649683,0.049635477,0.9142676,0.3661579,0.9452098,0.8596693,0.4584481,0.49801147,0.039563335,0.58122426,0.19605886808490333
41,0.0499409,0.89928937,0.33138788,0.9443456,1.0138237,0.44398263,0.50023067,0.05624799,0.4966779,0.20451931891263475,0.026477743,0.90291655,0.21369585,0.9229625,0.5089711,0.2389211,0.2655313,0.026610203,0.52224547,0.23536915619867585
42,0.051412772,0.90193653,0.34390414,0.94586235,1.0162268,0.46050766,0.5153409,0.05483327,0.51046145,0.1956795856485582,0.010771165,0.8762877,0.07966355,0.9068669,0.46258762,0.0690018,0.10769592,0.038694113,0.23521115,0.30102500450934117
43,0.051233206,0.9005079,0.33997643,0.9457313,1.0274364,0.45707968,0.5134383,0.056358587,0.50295055,0.19322796356692523,0.028483527,0.90106237,0.2236297,0.9246543,0.5679548,0.25572965,0.28664446,0.030914819,0.5046739,0.2287315364596073
44,0.051894873,0.9023095,0.34675673,0.9464189,1.0221528,0.46461964,0.51964784,0.055028107,0.5117911,0.1899252871100279,0.03674749,0.89285994,0.25536487,0.9316366,0.81943893,0.32076317,0.36997947,0.04921634,0.45261753,0.20759788813760766
45,0.05165943,0.90324575,0.34814054,0.9463114,1.0080092,0.4643637,0.51815146,0.053787816,0.5163437,0.18945182212613976,0.038115166,0.8879022,0.25356683,0.93259233,0.89719117,0.32724872,0.38354218,0.056293443,0.42822278,0.2063440173470005
46,0.05201618,0.9032816,0.3496975,0.9466869,1.017386,0.46816003,0.5223026,0.05414262,0.51664424,0.18911742273625592,0.022832744,0.9060391,0.19469869,0.9201082,0.40565777,0.20977172,0.22896537,0.019193647,0.5653,0.2574007798364197
